"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_NAME","MUNICIPALITY"
"2017060633","1","U","U","Y","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017041377","1"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017047890","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","Y","N","U","2017","67","Philadelphia","67301"
"2017070415","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017052330","1"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017055357","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","Y","N","Y","2017","67","Philadelphia","67301"
"2017041160","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017115961","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017120647","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017091763","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017101854","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017127437","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2017060563","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017108010","1","U","U","Y","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017088771","1","U","U","U","Y","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017078761","2","N","U","N","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017127315","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017086633","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","U","N","Y","2017","67","Philadelphia","67301"
"2017021514","1"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017055501","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017067848","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017076155","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017076296","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017021621","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2017060579","2","U","U","U","U","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017041395","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","N","N","U","2017","67","Philadelphia","67301"
"2017070399","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","Y","N","U","2017","67","Philadelphia","67301"
"2017120424","2","U","U","N","Y","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017115968","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","Y","N","U","2017","67","Philadelphia","67301"
"2017116019","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017116118","3","U","U","N","Y","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017116118","2","U","U","N","Y","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017106048","2","U","U","N","U","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017108111","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017094181","1","N","Y","N","Y","1","Y","Y","Y","Y","00900"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017093522","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017122784","1"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017066965","1","Y","Y","Y","Y","3","Y","Y","Y","Y","01690"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017091809","1"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017101879","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","Y","N","U","2017","67","Philadelphia","67301"
"2017135084","2","U","U","Y","N","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017013948","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","N","N","N","2017","67","Philadelphia","67301"
"2017014016","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2017055676","1","U","U","N","U","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017067783","2","U","U","N","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017067904","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2017086223","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","Y","N","U","2017","67","Philadelphia","67301"
"2017086340","1","N","U","Y","U","9","U","U","N","N","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017086349","1"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017086636","1","U","U","N","U","1","U","N","Y","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017086636","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","Y","N","U","2017","67","Philadelphia","67301"
"2017086815","1","U","U","N","U","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017097953","1","U","U","N","N","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017055581","1","U","U","N","N","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017096468","1","N","U","N","N","0","N","N","U","U","99999","U","N","0","N","N","U","U","Y","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017096475","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","Y","N","U","2017","67","Philadelphia","67301"
"2017060703","2","U","U","U","N","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017043833","1","N","U","N","U","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017043848","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","N","N","U","2017","67","Philadelphia","67301"
"2017052400","1","U","U","Y","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017028898","1"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017115957","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017065904","1","Y","N","Y","Y","3","Y","N","Y","Y","01600"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017088863","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2017088994","1","U","U","U","U","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017127511","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2018020736","1"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017088817","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","Y","N","U","2017","67","Philadelphia","67301"
"2017109971","1","U","U","U","U","9","U","U","U","U","99999"," "," "," "," "," "," "," ","U","U"," "," "," "," ","2017","67","Philadelphia","67301"
"2017109971","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2017068058","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","N","N","N","2017","67","Philadelphia","67301"
"2017097815","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017097816","2","U","Y","Y","Y","2","Y","Y","Y","Y","00650"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2018005549","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017086054","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017086134","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2017096444","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2017076168","2","U","U","Y","N","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017019085","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","N","Y","Y","2017","67","Philadelphia","67301"
"2017070439","1","U","U","Y","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017070444","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017052470","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","N","N","N","2017","67","Philadelphia","67301"
"2017028849","1"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017088908","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017088972","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2017091822","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","N","N","N","2017","67","Philadelphia","67301"
"2017093594","2","U","U","Y","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017078701","2","U","U","N","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2018005468","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017091691","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","N","N","N","2017","67","Philadelphia","67301"
"2017037551","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017135049","1","U","U","U","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017086077","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017013969","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","N","N","N","2017","67","Philadelphia","67301"
"2017067738","1","U","U","U","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017055630","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017076336","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017041373","1","U","U","N","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017052190","2","N","Y","U","U","1","U","Y","Y","Y","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017041157","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017041240","2","U","U","U","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017120721","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2018029781","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017097828","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","Y","N","U","2017","67","Philadelphia","67301"
"2017086119","2","U","Y","N","U","9","U","U","Y","U","01200"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017086787","1","U","U","Y","Y","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017096576","1","U","U","U","N","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017028994","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","Y","2017","67","Philadelphia","67301"
"2017060723","2","U","U","U","Y","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017014084","2","U","U","Y","U","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017028802","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017041207","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","Y","N","U","2017","67","Philadelphia","67301"
"2017120658","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","Y","N","Y","2017","67","Philadelphia","67301"
"2017109768","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","N","N","N","N","2017","67","Philadelphia","67301"
"2017088858","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017091844","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017127417","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2017107963","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017109967","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017078788","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","U","N","U","2017","67","Philadelphia","67301"
"2017078858","2","U","U","N","N","9","U","U","U","U","99999","U","N","9","U","U","U","U","Y","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017110784","1","N","Y","U","Y","3","Y","Y","Y","Y","00600"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017130690","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","Y","N","N","Y","2017","67","Philadelphia","67301"
"2017086089","1","N","Y","U","U","1","U","Y","N","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017067879","1","U","U","N","U","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017052097","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017055483","1","N","U","N","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017055536","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017096441","1","U","U","U","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017058386","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","Y","N","U","2017","67","Philadelphia","67301"
"2017076300","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017060692","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017060706","1","U","U","Y","U","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017060706","2","U","U","Y","U","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017043889","1","U","U","N","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017007208","2","N","N","Y","Y","1","U","Y","Y","Y","00487"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017116085","1","U","U","N","N","0","N","N","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017116110","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017120522","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","N","N","U","2017","67","Philadelphia","67301"
"2017120668","2"," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ","U","Y","N","U","2017","67","Philadelphia","67301"
"2017088936","1","U","U","U","N","9","U","U","U","U","99999"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
"2017085902","1","N","N","N","Y","1","Y","Y","Y","N","01000"," "," "," "," "," "," "," ","N","N"," "," "," "," ","2017","67","Philadelphia","67301"
